2022-08-18 16:37:39,836 ; DEBUG ; streamer ; init_socket ; WebSocketApp Initiated
2022-08-18 16:39:40,135 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.3008, 2022-08-18 16:39:40.135408)
2022-08-18 16:39:41,058 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.16, 2022-08-18 16:39:41.058014)
2022-08-18 16:39:41,154 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.32, 2022-08-18 16:39:41.154195)
2022-08-18 16:39:42,082 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.32, 2022-08-18 16:39:42.082127)
2022-08-18 16:39:44,248 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.3238, 2022-08-18 16:39:44.248703)
2022-08-18 16:39:45,023 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.3199, 2022-08-18 16:39:45.023002)
2022-08-18 16:39:46,281 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.3499, 2022-08-18 16:39:46.281213)
2022-08-18 16:39:46,291 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.16, 2022-08-18 16:39:46.291385)
2022-08-18 16:39:47,099 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.16, 2022-08-18 16:39:47.099040)
2022-08-18 16:39:48,123 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.3499, 2022-08-18 16:39:48.123485)
2022-08-18 16:39:48,141 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.16, 2022-08-18 16:39:48.141865)
2022-08-18 16:39:49,147 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.3507, 2022-08-18 16:39:49.147294)
2022-08-18 16:39:50,069 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.36, 2022-08-18 16:39:50.069425)
2022-08-18 16:39:50,110 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.16, 2022-08-18 16:39:50.109951)
2022-08-18 16:39:51,177 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.3586, 2022-08-18 16:39:51.177087)
2022-08-18 16:39:51,188 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.16, 2022-08-18 16:39:51.188509)
2022-08-18 16:39:51,199 ; INFO ; streamer_functions ; update_db_quote ; Quote(LRC-USD, 0.42325, 2022-08-18 16:39:51.199524)
2022-08-18 16:39:52,054 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.3501, 2022-08-18 16:39:52.054200)
2022-08-18 16:39:52,154 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.16, 2022-08-18 16:39:52.154947)
2022-08-18 16:39:54,063 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.3509, 2022-08-18 16:39:54.063282)
2022-08-18 16:39:54,101 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.21, 2022-08-18 16:39:54.101231)
2022-08-18 16:39:55,087 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.21, 2022-08-18 16:39:55.087496)
2022-08-18 16:39:55,093 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.38, 2022-08-18 16:39:55.093831)
